,Unnamed: 0,id,category,subcategory,transformed category,tuberack,plate,reservoir,trash,other,opentrons_96_tiprack_10ul,opentrons_96_tiprack_20ul,opentrons_96_tiprack_300ul,opentrons_96_tiprack_1000ul,opentrons_96_filtertiprack_10ul,opentrons_96_filtertiprack_20ul,opentrons_96_filtertiprack_200ul,opentrons_96_filtertiprack_1000ul,p10_single,p10_multi,p20_single_gen2,p20_multi_gen2,p50_single,p50_multi,p300_single,p300_multi,p300_single_gen2,p300_multi_gen2,p1000_single,p1000_single_gen2,temperature gen2,temperature gen1,magnetic gen2,magnetic gen1,thermocycler,total tipracks,created,delivered,tat,sf_category,sf_status,sf_assignee
28,28,4471ba,sample prep,plate filling,sample prep,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2021-06-28 17:34:01,2021-06-28,0.0,"CSV/Excel File input (for protocols like normalization, cherry picking, DNA assembly, etc)",Closed,ncdiehl11
29,29,76ba23-pooling,ngs library prep,zymoresearch: ez dna methylation-gold kit,ngs,1,3,1,1,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,2021-05-27 00:16:37,2021-06-02,7.0,PCR/qPCR prep,Closed,ramifarawi
30,30,111210-part-8,ngs library prep,generead qiaact lung rna fusion umi panel kit,ngs,0,2,1,1,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,2,2021-05-17 20:31:53,2021-05-28,11.0,"CSV/Excel File input (for protocols like normalization, cherry picking, DNA assembly, etc)",Closed,chazmanc
31,31,2b9486,ngs library prep,custom,ngs,0,4,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2021-06-25 14:18:50,2021-07-01,6.0,"CSV/Excel File input (for protocols like normalization, cherry picking, DNA assembly, etc),PCR/qPCR prep",Closed,ramifarawi
32,32,5a3797-protocol-3,pcr,pcr prep,pcr,7,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2021-02-20 00:51:58,2021-03-03,12.0,"CSV/Excel File input (for protocols like normalization, cherry picking, DNA assembly, etc)",Closed,StevenPlonk
33,33,18d6a1,nucleic acid extraction & purification,nucleic acid extraction,extraction,0,3,2,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,6,2021-06-27 00:21:57,2021-07-14,18.0,ELISA,Closed,StevenPlonk
34,34,111210-part-6,ngs library prep,generead qiaact lung rna fusion umi panel kit,ngs,0,3,1,1,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,2,2021-02-01 23:57:49,2021-02-16,15.0,Serial dilutions,Closed,ramifarawi
35,35,2c19aa,sample prep,plate filling,sample prep,0,10,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2021-02-02 16:28:53,2021-02-19,17.0,deposit ion selective membrane,Closed,sakibh
36,36,4568fa,sample prep,normalization,cherrypicking,2,2,1,1,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,2,2,0,0,0,4,2021-03-01 16:39:24,2021-03-05,4.0,Unsure,Closed,ramifarawi
37,37,4a5f32,nucleic acid extraction & purification,nucleic acid purification,extraction,0,3,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,2021-03-02 20:18:47,2021-03-12,10.0,Kinase Assay,Closed,sakibh
38,38,cherrypicking,featured,cherrypicking,cherrypicking,0,2,3,1,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2021-03-03 02:47:12,2021-03-18,16.0,Use of an 8-pin replicator to transfer samples from 96 well plate to a slide,Closed,ncdiehl11
39,39,063611,sample prep,plate filling,sample prep,0,0,1,1,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2021-04-29 17:36:33,2021-05-13,14.0,NGS library prep,Closed,StevenPlonk
40,40,154ec5,sample prep,cherrypicking,cherrypicking,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2021-07-08 16:50:26,,,,Closed,chazmanc
41,41,7e4c3e-3,sample prep,plate filling,sample prep,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2021-07-08 20:01:34,2021-07-09,1.0,"CSV/Excel File input (for protocols like normalization, cherry picking, DNA assembly, etc)",Closed,ncdiehl11
42,42,1bcd67,sample prep,normalization,cherrypicking,0,4,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2021-06-02 21:46:05,2021-06-08,6.0,Nucleic acid purification,In Optimization,ramifarawi
43,43,747d99-assay-1,covid workstation,rna extraction,extraction,1,2,1,1,1,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,5,2021-02-05 21:43:15,2021-02-19,14.0,Specimen Pooling 3:1 and 2:1,Closed,StevenPlonk
44,44,21e4d8-pt3,ngs library prep,twist library prep,ngs,1,3,1,1,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,4,2021-05-12 18:30:45,2021-05-26,14.0,Custom Protocol,Closed,StevenPlonk
45,45,arcis-single-test,nucleic acid extraction & purification,arcis blood kit,extraction,2,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2021-05-05 18:46:36,2021-05-18,13.0,PCR/qPCR prep,Closed,ramifarawi
46,46,7e4c3e-4,sample prep,plate filling,sample prep,1,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2021-06-04 16:52:41,2021-06-04,0.0,,Closed,chazmanc
47,47,3fad82-part-3,ngs library prep,nebnext ultra ii fs dna library prep kit for illumina,ngs,0,2,1,1,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,4,2021-07-12 17:04:56,2021-07-27,15.0,"Protein crystallization screens,CSV/Excel File input (for protocols like normalization, cherry picking, DNA assembly, etc)",Closed,StevenPlonk
48,48,04eeb1-part-7,ngs library prep,illumina covidseq test,ngs,0,1,0,1,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,2021-06-04 20:29:16,2021-06-17,13.0,NGS library prep,Closed,sakibh
49,49,3633ca,sample prep,plate filling,sample prep,0,1,1,1,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,3,2021-01-13 08:00:00,2021-02-19,37.0,"CSV/Excel File input (for protocols like normalization, cherry picking, DNA assembly, etc)",Closed,chazmanc
50,50,zymo-quick-custom,nucleic acid extraction & purification,zymo kit,extraction,1,2,2,1,0,0,0,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,6,2021-01-14 08:00:00,2021-01-22,8.0,Lipid analysis,Closed,sakibh
51,51,2aee74-48-3,proteins & proteiomics,olink target 48,protein,1,4,0,1,1,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,2021-01-22 08:00:00,2021-02-19,28.0,"CSV/Excel File input (for protocols like normalization, cherry picking, DNA assembly, etc)",Closed,ramifarawi
52,52,3a49b6,sample prep,normalization,cherrypicking,1,2,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2021-01-25 08:00:00,2021-02-13,19.0,General Lab,Closed,ramifarawi
53,53,581011-pt2,sample prep,cherrypicking,cherrypicking,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2020-12-22 08:00:00,2020-12-22,0.0,Simple Transfer Protocol,Closed,ncdiehl11
54,54,sci-zymo-directzol-magbead,nucleic acid extraction & purification,rna extraction,extraction,0,2,3,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,6,2020-12-23 08:00:00,2021-01-15,23.0,PCR/qPCR prep,Closed,sakibh
55,55,1d6d1b,sample prep,slide spotting,sample prep,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2021-01-04 08:00:00,2021-01-20,16.0,"CSV/Excel File input (for protocols like normalization, cherry picking, DNA assembly, etc)",Closed,sakibh
56,56,111210-part-7,ngs library prep,generead qiaact lung rna fusion umi panel kit,ngs,0,1,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2021-01-04 08:00:00,2021-02-05,32.0,NGS library prep,Closed,sakibh
57,57,5f37a2,nucleic acid extraction & purification,magnesil,extraction,0,3,1,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,7,2021-01-07 08:00:00,2021-01-07,0.0,"CSV/Excel File input (for protocols like normalization, cherry picking, DNA assembly, etc)",Closed,ncdiehl11
58,58,pcr_prep_part_2,pcr,pcr prep,pcr,0,2,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,2021-01-25 08:00:00,,,Slide array spotting,Closed,ncdiehl11
59,59,illumina-nextera-XT-library-prep-part1,featured,ngs library prep: illumina nextera xt,ngs,1,3,0,1,0,0,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2021-01-26 08:00:00,2021-02-19,24.0,PCR/qPCR prep,Closed,ncdiehl11
60,60,5a3797-protocol-2,pcr,pcr prep,pcr,0,2,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2021-01-27 08:00:00,2021-02-05,9.0,NGS library prep,Closed,sakibh
61,61,7a3e4b,featured,cherrypicking,cherrypicking,0,2,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2021-01-27 08:00:00,2021-02-16,20.0,Nucleic acid purification,Closed,StevenPlonk
62,62,165a77,pcr,qpcr setup,pcr,0,6,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2021-01-27 08:00:00,2021-02-05,9.0,PCR/qPCR prep,Closed,chazmanc
63,63,bpg-rna-extraction,covid workstation,rna extraction,extraction,0,2,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2020-10-28 07:00:00,2020-12-15,48.0,"cDNA dilution, plate preparation, etc",Closed,
64,64,313086-logixsmart-station-C,covid workstation,qpcr setup,pcr,1,2,0,1,0,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2020-11-03 08:00:00,2021-01-07,65.0,PCR/qPCR prep,Closed,chazmanc
65,65,111210-part-9,ngs library prep,generead qiaact lung dna umi panel kit,ngs,0,1,0,1,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,2020-11-05 08:00:00,,,Nucleic acid purification,Awaiting Customer Response,ncdiehl11
66,66,12213d,sample prep,plate filling,sample prep,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2020-11-06 08:00:00,2020-11-12,6.0,PCR/qPCR prep,Closed,ncdiehl11
67,67,25a03d,pcr,pcr prep,pcr,0,0,0,1,4,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2020-11-06 08:00:00,2020-12-10,34.0,"CSV/Excel File input (for protocols like normalization, cherry picking, DNA assembly, etc)",Closed,
68,68,0fa015,sample prep,plate filling,sample prep,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020-11-06 08:00:00,2020-11-16,10.0,,Closed,ncdiehl11
69,69,70567f,ngs library prep,ampure xp,ngs,0,4,0,1,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,7,2020-11-11 08:00:00,2020-12-07,26.0,"CSV/Excel File input (for protocols like normalization, cherry picking, DNA assembly, etc)",Closed,sakibh
70,70,00a6e5,sample prep,plate filling,sample prep,5,1,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,2020-11-11 08:00:00,,,NGS library prep,Awaiting Customer Response,chazmanc
71,71,0556be-covid-mm-qc-v3,sample prep,plate filling,sample prep,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2020-11-24 08:00:00,2020-12-07,13.0,Simple Transfer Protocol,Closed,ncdiehl11
72,72,563624,proteins & proteomics,purification,extraction,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2020-11-24 08:00:00,2020-12-08,14.0,Simple Transfer Protocol,Closed,ncdiehl11
73,73,0e696e,sample prep,cherrypicking,cherrypicking,1,1,0,1,3,0,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2020-11-25 08:00:00,2020-12-16,21.0,Nucleic acid purification,Closed,ncdiehl11
74,74,5c24e2,sample prep,plate filling,sample prep,0,6,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2020-12-01 08:00:00,,,"Mass spec sample prep (MALDI spotting, gel digests, etc)",Closed,ncdiehl11
75,75,4b4a80-fragmentation,ngs library prep,nebnext ultra ii fs dna library prep kit for illumina e6177s/l,ngs,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,2020-12-02 08:00:00,2020-12-16,14.0,PCR/qPCR prep,Closed,chazmanc
76,76,7f9595,sample prep,serial dilution,dilution,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2020-12-04 08:00:00,2020-12-22,18.0,"Mass spec sample prep (MALDI spotting, gel digests, etc)",Closed,sakibh
77,77,1c086c,sample prep,distribution,sample prep,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2020-12-04 08:00:00,2020-12-14,10.0,Nucleic acid purification,Closed,sakibh
78,78,0045f1,sample prep,plate filling,sample prep,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020-12-07 08:00:00,,,Nucleic acid purification,Awaiting Customer Response,ncdiehl11
79,79,0add76,sample prep,plate filling,sample prep,0,2,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2020-12-08 08:00:00,2021-01-28,51.0,Nucleic acid purification,Closed,chazmanc
80,80,2df9f8-pt3,pcr,pcr prep,pcr,0,8,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2020-12-08 08:00:00,2020-12-16,8.0,PCR/qPCR prep,Closed,sakibh
81,81,776039,sample prep,consolidation,sample prep,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020-12-09 08:00:00,2021-01-26,48.0,PCR/qPCR prep,Closed,
82,82,245eb2,nucleic acid extraction & purification,nucleic acid extraction,extraction,0,2,2,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6,2020-12-15 08:00:00,2021-01-12,28.0,Manufacturing,Closed,sakibh
83,83,5f7d18,nucleic acid extraction & purification,rna extraction,extraction,1,2,3,1,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5,2020-12-17 08:00:00,2021-01-08,22.0,Pooling NGS libraries for Sequencing,Closed,ncdiehl11
84,84,2df9f8-pt4,sample prep,plate filling,sample prep,0,6,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,2020-12-17 08:00:00,2020-12-28,11.0,PCR/qPCR prep,Closed,sakibh
85,85,1adec6-7,proteins & proteomics,assay,protein,0,3,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2020-12-18 08:00:00,2020-12-29,11.0,PCR/qPCR prep,Closed,sakibh
86,86,6b8c90,sample prep,plate filling,sample prep,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2020-12-22 08:00:00,,,PCR/qPCR prep,Closed,sakibh
87,87,08e3eb,sample prep,plate filling,sample prep,0,0,1,1,9,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2021-01-20 08:00:00,2021-02-01,12.0,Nucleic acid purification,Closed,sakibh
88,88,6030b7,ngs library prep,lexogen quantseq,ngs,1,4,1,1,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,4,2021-01-21 08:00:00,2021-02-02,12.0,"Dispensing drops of radioactive liquid on flat surfaces, to enable spreading the liquid (by other tools) evenly.",Closed,ncdiehl11
89,89,2c62b7,nucleic acid extraction & purification,omega mag-bind environmental dna 96 kit,extraction,0,3,2,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,6,2021-01-21 08:00:00,2021-01-30,9.0,PCR/qPCR prep,Closed,sakibh
90,90,384b23-tube-transfer,sample prep,plate filling,sample prep,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2021-01-22 08:00:00,2021-02-02,11.0,Sterile workflows (cell culture and related assays),Closed,chazmanc
91,91,74841a-2,ngs library prep,swift normalase amplicon panels (snap),ngs,0,2,2,1,0,0,0,1,0,0,2,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,6,2020-10-20 07:00:00,2020-12-10,51.0,NGS library prep,Closed,
92,92,sci-thermofisher-magmax,nucleic acid and purification,thermofisher magmax,extraction,0,2,3,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,6,2020-10-23 07:00:00,2020-11-25,33.0,Nucleic acid purification,Closed,sakibh
